ticker,beta
DG,0.2076
DGX,0.6238
DHI,1.3954
DHR,0.9258
DIS,1.434
DLR,1.1303
DLTR,0.6809
DOC,1.0685
DOV,1.2367
DOW,0.7132
DPZ,1.1471
DRI,0.5915
DTE,0.4526
DUK,0.4641
DVA,0.9245
DVN,0.633
DXCM,1.4932
EA,0.7521
EBAY,1.3514
ECL,0.9713
ED,0.3507
EFX,1.5043
EG,0.3334
EIX,0.7808
EL,1.0786
ELV,0.4651
EMN,1.2195
EMR,1.2267
ENPH,1.3629
EOG,0.4321
EPAM,1.7511
EQIX,1.0261
EQR,0.7262
EQT,0.7227
ERIE,0.4126
ES,0.7466
ESS,0.7116
ETN,1.1573
ETR,0.6048
EVRG,0.5991
EW,0.9083
EXC,0.405
EXE,0.4765
EXPD,1.0994
EXPE,1.4003
EXR,1.2224
F,1.6364
FANG,0.5728
FAST,0.8527
FCX,1.4288
FDS,0.7431
FDX,1.267
FE,0.5968
FFIV,0.9821
FI,0.7533
FICO,1.2733
FIS,0.8976
FITB,0.972
FIX,1.5991
FOX,0.5744
FOXA,0.5363
FRT,1.0011
FSLR,1.6432
FTNT,1.0184
FTV,1.0716
GD,0.3696
GDDY,0.9691
GE,1.3813
GEHC,1.1569
GEN,1.1025
GEV,1.4421
GILD,0.3739
GIS,-0.0945
GL,0.4537
GLW,1.0122
GM,1.344
GNRC,1.7548
GOOG,1.1082
GOOGL,1.1028
GPC,0.7298
GPN,0.73
GRMN,0.9468
GS,1.3338
GWW,1.0825
HAL,0.7568
HAS,0.5325
HBAN,0.9748
HCA,1.3286
HD,1.0303
HIG,0.5206
HII,0.2721
HLT,1.1145
HOLX,0.7213
HON,0.9042
HPE,1.2829
HPQ,1.1788
HRL,0.3037
HSIC,0.8434
HST,1.1493
HSY,0.1159
HUBB,0.986
HUM,0.4246
HWM,1.1881
IBM,0.6813
ICE,1.0393
IDXX,1.6736
IEX,0.9461
IFF,0.9946
INCY,0.8326
INTC,1.3516
INTU,1.2536
INVH,0.8097
IP,1.0689
IPG,0.9804
IQV,1.3954
IR,1.2773
IRM,1.1409
ISRG,1.6574
IT,1.0675
ITW,1.1122
IVZ,1.6229
J,0.7447
JBHT,1.2018
JBL,1.1563
JCI,1.3753
JKHY,0.7148
JNJ,0.3231
JPM,1.0572
K,0.2114
KDP,0.3042
KEY,1.0903
KEYS,1.1185
KHC,0.0175
KIM,1.0551
KKR,2.0008
KLAC,1.4298
KMB,0.2355
KMI,0.6455
KMX,1.3213
KO,0.3356
KR,0.5794
KVUE,0.4945
L,0.5912
LDOS,0.6136
LEN,1.3953
LH,0.9885
LHX,0.6029
LII,1.1321
LIN,0.7926
LKQ,0.8643
LLY,0.4252
LMT,0.1989
LNT,0.6122
LOW,0.926
LRCX,1.7664
LULU,0.9888
LUV,1.0858
LVS,0.881
LW,0.4259
LYB,0.6839
LYV,1.1277
MA,0.8285
MAA,0.7602
MAR,1.0934
MAS,1.2363
MCD,0.4922
MCHP,1.4334
MCK,0.36
MCO,1.4283
MDLZ,0.3686
MDT,0.7221
MET,0.7411
META,1.2548
MGM,1.3758
MHK,1.1648
MKC,0.5619
MKTX,0.9437
MLM,1.1424
MMC,0.7352
MMM,1.0379
MNST,0.4359
MO,0.449
MOH,0.4757
MOS,0.9424
MPC,0.7086
MPWR,1.4788
MRK,0.2613
MRNA,1.3249
MS,1.2009
MSCI,1.2889
MSFT,1.0914
MSI,0.9534
MTB,0.6003
MTCH,1.3082
MTD,1.4241
MU,1.5275
NCLH,1.9915
NDAQ,1.0337
NDSN,0.979
NEE,0.747
NEM,0.377
NFLX,1.6936
NI,0.6166
NKE,1.2799
NOC,0.0094
NOW,0.9992
NRG,1.2551
NSC,1.2898
NTAP,1.3304
NTRS,1.2612
NUE,1.7725
NVDA,2.3588
NVR,1.0188
NWS,0.9671
NWSA,0.9615
NXPI,1.4328
O,0.7625
ODFL,1.2079
OKE,0.8803
OMC,0.6995
ON,1.5263
ORCL,1.616
ORLY,0.5906
OTIS,0.9709
OXY,0.3504
PANW,0.82
PAYC,0.7899
PAYX,0.8813
PCAR,1.033
PCG,0.316
PEG,0.5799
PEP,0.3774
PFE,0.4062
PFG,0.8731
PG,0.34
PGR,0.2954
PH,1.2094
PHM,1.29
PKG,0.9026
PLD,1.404
PLTR,1.7182
PM,0.4007
PNC,0.9682
PNR,1.198
PNW,0.4957
PODD,1.4159
POOL,1.2348
PPG,1.1127
PPL,0.689
PRU,0.9614
PSA,0.9498
PSKY,1.2439
PSX,0.8761
PTC,1.0313
PWR,1.0985
PYPL,1.4247
QCOM,1.2563
RCL,1.9125
REG,0.9185
REGN,0.3924
RF,1.0473
RJF,1.0031
RL,1.4815
RMD,0.8724
ROK,1.4962
ROL,0.7831
ROP,0.9164
ROST,0.9767
RSG,0.5169
RTX,0.4093
RVTY,1.0902
SBAC,0.8191
SBUX,0.9267
SCHW,0.9162
SHW,1.2391
SJM,0.1709
SLB,0.7101
SMCI,1.5048
SNA,0.7495
SNPS,1.16
SO,0.4077
SOLV,0.43
SPG,1.3861
SPGI,1.2069
SRE,0.698
STE,1.023
STLD,1.3969
STT,1.4077
STX,1.634
STZ,0.4215
SW,0.6604
SWK,1.1346
SWKS,1.2628
SYF,1.4106
SYK,0.858
SYY,0.5932
T,0.3434
TAP,0.4572
TDG,0.9121
TDY,0.9627
TECH,1.4609
TEL,1.2383
TER,1.7801
TFC,0.8634
TGT,1.0853
TJX,0.7289
TKO,0.6655
TMO,0.9571
TMUS,0.4198
TPL,0.744
TPR,1.585
TRGP,0.8468
TRMB,1.5499
TROW,1.5432
TRV,0.5065
TSCO,0.6844
TSLA,1.8845
TSN,0.4396
TT,1.1777
TTD,1.1836
TTWO,0.9504
TXN,0.974
TXT,0.9222
TYL,0.9214
UAL,1.252
UBER,1.199
UDR,0.6785
UHS,1.2492
ULTA,0.8182
UNH,0.3753
UNP,0.9451
UPS,1.0453
URI,1.6296
USB,1.0409
V,0.7853
VICI,0.6983
VLO,0.7252
VLTO,0.9035
VMC,1.0531
VRSK,0.7877
VRSN,0.7473
VRTX,0.3044
VST,1.4328
VTR,0.7555
VTRS,0.7936
VZ,0.2806
WAB,0.9702
WAT,1.1879
WBA,0.7693
WBD,1.6524
WDAY,1.149
WDC,1.795
WEC,0.5322
WELL,0.81
WFC,1.0753
WM,0.5289
WMB,0.6508
WMT,0.6495
WRB,0.3415
WSM,1.5404
WST,1.1547
WTW,0.6127
WY,1.0193
WYNN,1.0236
XEL,0.4314
XOM,0.3479
XYL,1.1594
XYZ,2.6489
YUM,0.6337
ZBH,0.5883
ZBRA,1.6481
ZTS,0.9432
